date,ip 属地,评分,comments
2022-05-13,未知,5,好好玩的地方这里的老板很热情，拍照很好看
2022-11-22,广西,5,20元人民币背景下风景绝佳，视野开阔，团建聚会好选择。
2022-09-26,广东,5,超级nice的露营地，四周环绕群山和漓江。独一无二的静谧！还有一支叫狗蛋的边牧，特别温柔。还要再去！
2022-05-13,未知,5,真的很不错的一天，很适合来度假的哦！
2022-05-13,未知,5,离景区不远 很适合拍照打卡的哦！
2022-05-13,未知,5,很开心的一天，拍照太好看了吧！
2023-09-11,湖南,5,阳朔狗蛋露营地景色超美，趣味性强，服务周到细致，性价比超高的。
2023-06-08,广东,5,阳朔除了山美水美，还有一大批户外活动基地，露营也是很有乐趣q
2023-02-24,上海,5,阳朔狗蛋露营地，配套汶设施齐全，服务态度好，值得一去
2023-02-23,辽宁,5,地方很大，周围景色也很美，超棒。
2022-05-13,未知,5,好好玩的地方这里的老板很热情，拍照很好看
2022-11-22,广西,5,20元人民币背景下风景绝佳，视野开阔，团建聚会好选择。
2022-09-26,广东,5,超级nice的露营地，四周环绕群山和漓江。独一无二的静谧！还有一支叫狗蛋的边牧，特别温柔。还要再去！
2022-05-13,未知,5,真的很不错的一天，很适合来度假的哦！
2022-05-13,未知,5,离景区不远 很适合拍照打卡的哦！
2022-05-13,未知,5,很开心的一天，拍照太好看了吧！
2023-09-11,湖南,5,阳朔狗蛋露营地景色超美，趣味性强，服务周到细致，性价比超高的。
2023-06-08,广东,5,阳朔除了山美水美，还有一大批户外活动基地，露营也是很有乐趣q
2023-02-24,上海,5,阳朔狗蛋露营地，配套汶设施齐全，服务态度好，值得一去
2023-02-23,辽宁,5,地方很大，周围景色也很美，超棒。
